Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
est72011,"July 1, 2011",totsex,Both Sexes,nhisp,Not Hispanic,0400000US49,49,Utah,2446305,2260029,27241,27386,57880,24717,49052
est72011,"July 1, 2011",totsex,Both Sexes,tothisp,Total,0400000US49,49,Utah,2816124,2590772,34981,41659,61022,26667,61023
est72012,"July 1, 2012",female,Female,hisp,Hispanic,0400000US49,49,Utah,183105,163637,3740,7066,1586,1004,6072
est72012,"July 1, 2012",female,Female,nhisp,Not Hispanic,0400000US49,49,Utah,1236872,1141152,12031,13978,32248,12132,25331
est72012,"July 1, 2012",female,Female,tothisp,Total,0400000US49,49,Utah,1419977,1304789,15771,21044,33834,13136,31403
est72012,"July 1, 2012",male,Male,hisp,Hispanic,0400000US49,49,Utah,194788,173442,4184,7997,1686,1072,6407
est72012,"July 1, 2012",male,Male,nhisp,Not Hispanic,0400000US49,49,Utah,1241017,1144231,16243,13476,28075,13241,25751
est72012,"July 1, 2012",male,Male,tothisp,Total,0400000US49,49,Utah,1435805,1317673,20427,21473,29761,14313,32158
est72012,"July 1, 2012",totsex,Both Sexes,hisp,Hispanic,0400000US49,49,Utah,377893,337079,7924,15063,3272,2076,12479
est72012,"July 1, 2012",totsex,Both Sexes,nhisp,Not Hispanic,0400000US49,49,Utah,2477889,2285383,28274,27454,60323,25373,51082
est72012,"July 1, 2012",totsex,Both Sexes,tothisp,Total,0400000US49,49,Utah,2855782,2622462,36198,42517,63595,27449,63561
est72013,"July 1, 2013",female,Female,hisp,Hispanic,0400000US49,49,Utah,188352,167975,3854,7457,1676,1076,6314
est72013,"July 1, 2013",female,Female,nhisp,Not Hispanic,0400000US49,49,Utah,1254396,1155284,12518,14221,33543,12523,26307
est72013,"July 1, 2013",female,Female,tothisp,Total,0400000US49,49,Utah,1442748,1323259,16372,21678,35219,13599,32621
est72013,"July 1, 2013",male,Male,hisp,Hispanic,0400000US49,49,Utah,199349,177060,4293,8408,1788,1122,6678
est72013,"July 1, 2013",male,Male,nhisp,Not Hispanic,0400000US49,49,Utah,1260566,1160111,16808,13632,29450,13685,26880
est72013,"July 1, 2013",male,Male,tothisp,Total,0400000US49,49,Utah,1459915,1337171,21101,22040,31238,14807,33558
est72013,"July 1, 2013",totsex,Both Sexes,hisp,Hispanic,0400000US49,49,Utah,387701,345035,8147,15865,3464,2198,12992
est72013,"July 1, 2013",totsex,Both Sexes,nhisp,Not Hispanic,0400000US49,49,Utah,2514962,2315395,29326,27853,62993,26208,53187
est72013,"July 1, 2013",totsex,Both Sexes,tothisp,Total,0400000US49,49,Utah,2902663,2660430,37473,43718,66457,28406,66179
est72014,"July 1, 2014",female,Female,hisp,Hispanic,0400000US49,49,Utah,192720,171666,3954,7831,1684,1121,6464
est72014,"July 1, 2014",female,Female,nhisp,Not Hispanic,0400000US49,49,Utah,1269336,1166885,12848,14503,34912,12803,27385
est72014,"July 1, 2014",female,Female,tothisp,Total,0400000US49,49,Utah,1462056,1338551,16802,22334,36596,13924,33849
est72014,"July 1, 2014",male,Male,hisp,Hispanic,0400000US49,49,Utah,203321,180408,4425,8639,1813,1170,6866
est72014,"July 1, 2014",male,Male,nhisp,Not Hispanic,0400000US49,49,Utah,1276459,1172584,17272,13820,30862,14005,27916
est72014,"July 1, 2014",male,Male,tothisp,Total,0400000US49,49,Utah,1479780,1352992,21697,22459,32675,15175,34782
est72014,"July 1, 2014",totsex,Both Sexes,hisp,Hispanic,0400000US49,49,Utah,396041,352074,8379,16470,3497,2291,13330
est72014,"July 1, 2014",totsex,Both Sexes,nhisp,Not Hispanic,0400000US49,49,Utah,2545795,2339469,30120,28323,65774,26808,55301
est72014,"July 1, 2014",totsex,Both Sexes,tothisp,Total,0400000US49,49,Utah,2941836,2691543,38499,44793,69271,29099,68631
est72015,"July 1, 2015",female,Female,hisp,Hispanic,0400000US49,49,Utah,198486,176768,4012,8057,1737,1156,6756
est72015,"July 1, 2015",female,Female,nhisp,Not Hispanic,0400000US49,49,Utah,1287086,1180620,13232,14756,36651,13341,28486
est72015,"July 1, 2015",female,Female,tothisp,Total,0400000US49,49,Utah,1485572,1357388,17244,22813,38388,14497,35242
est72015,"July 1, 2015",male,Male,hisp,Hispanic,0400000US49,49,Utah,209012,185364,4525,8902,1899,1213,7109
est72015,"July 1, 2015",male,Male,nhisp,Not Hispanic,0400000US49,49,Utah,1296048,1187637,17856,14166,32669,14555,29165
est72015,"July 1, 2015",male,Male,tothisp,Total,0400000US49,49,Utah,1505060,1373001,22381,23068,34568,15768,36274
est72015,"July 1, 2015",totsex,Both Sexes,hisp,Hispanic,0400000US49,49,Utah,407498,362132,8537,16959,3636,2369,13865
est72015,"July 1, 2015",totsex,Both Sexes,nhisp,Not Hispanic,0400000US49,49,Utah,2583134,2368257,31088,28922,69320,27896,57651
est72015,"July 1, 2015",totsex,Both Sexes,tothisp,Total,0400000US49,49,Utah,2990632,2730389,39625,45881,72956,30265,71516
est72016,"July 1, 2016",female,Female,hisp,Hispanic,0400000US49,49,Utah,205098,182502,4244,8292,1835,1173,7052
est72016,"July 1, 2016",female,Female,nhisp,Not Hispanic,0400000US49,49,Utah,1310225,1198428,13800,15366,38606,13892,30133
est72016,"July 1, 2016",female,Female,tothisp,Total,0400000US49,49,Utah,1515323,1380930,18044,23658,40441,15065,37185
est72016,"July 1, 2016",male,Male,hisp,Hispanic,0400000US49,49,Utah,215342,190871,4739,9002,1958,1259,7513
est72016,"July 1, 2016",male,Male,nhisp,Not Hispanic,0400000US49,49,Utah,1320552,1206374,18635,14854,34634,15178,30877
est72016,"July 1, 2016",male,Male,tothisp,Total,0400000US49,49,Utah,1535894,1397245,23374,23856,36592,16437,38390
est72016,"July 1, 2016",totsex,Both Sexes,hisp,Hispanic,0400000US49,49,Utah,420440,373373,8983,17294,3793,2432,14565
est72016,"July 1, 2016",totsex,Both Sexes,nhisp,Not Hispanic,0400000US49,49,Utah,2630777,2404802,32435,30220,73240,29070,61010
est72016,"July 1, 2016",totsex,Both Sexes,tothisp,Total,0400000US49,49,Utah,3051217,2778175,41418,47514,77033,31502,75575
cen42010,"April 1, 2010 Census",female,Female,hisp,Hispanic,0400000US50,50,Vermont,4582,3855,209,115,63,15,325
cen42010,"April 1, 2010 Census",female,Female,nhisp,Not Hispanic,0400000US50,50,Vermont,312953,299914,2634,999,4465,69,4872
cen42010,"April 1, 2010 Census",female,Female,tothisp,Total,0400000US50,50,Vermont,317535,303769,2843,1114,4528,84,5197
